년도,행정구역별,시,도,고령인구비율,전체인구
2011,서울특별시,서울,종로구,13.5,168382
2011,서울특별시,서울,중구,13.5,133193
2011,서울특별시,서울,용산구,12.8,246501
2011,서울특별시,서울,성동구,10.9,300711
2011,서울특별시,서울,광진구,9,371936
2011,서울특별시,서울,동대문구,12.1,365486
2011,서울특별시,서울,중랑구,10.3,423706
2011,서울특별시,서울,성북구,11.4,485171
2011,서울특별시,서울,강북구,12.6,345054
2011,서울특별시,서울,도봉구,10.9,365573
2011,서울특별시,서울,노원구,9.7,603930
2011,서울특별시,서울,은평구,11.4,493634
2011,서울특별시,서울,서대문구,12.6,314852
2011,서울특별시,서울,마포구,10.9,389493
2011,서울특별시,서울,양천구,8.2,500210
2011,서울특별시,서울,강서구,9.2,569072
2011,서울특별시,서울,구로구,9.7,427468
2011,서울특별시,서울,금천구,10.2,243438
2011,서울특별시,서울,영등포구,10.9,397443
2011,서울특별시,서울,동작구,11,401408
2011,서울특별시,서울,관악구,10,526397
2011,서울특별시,서울,서초구,9,433564
2011,서울특별시,서울,강남구,8.3,565710
2011,서울특별시,서울,송파구,8.1,682209
2011,서울특별시,서울,강동구,8.5,495138
2011,부산광역시,부산,중구,16.9,48686
2011,부산광역시,부산,서구,16.4,123718
2011,부산광역시,부산,동구,17.2,100420
2011,부산광역시,부산,영도구,15.8,143205
2011,부산광역시,부산,부산진구,12.4,395044
2011,부산광역시,부산,동래구,11.1,283742
2011,부산광역시,부산,남구,12.3,295121
2011,부산광역시,부산,북구,9.2,307988
2011,부산광역시,부산,해운대구,10.3,425618
2011,부산광역시,부산,사하구,10,355443
2011,부산광역시,부산,금정구,12,254720
2011,부산광역시,부산,강서구,14.1,64733
2011,부산광역시,부산,연제구,11.7,213326
2011,부산광역시,부산,수영구,13.2,176691
2011,부산광역시,부산,사상구,9.1,254413
2011,부산광역시,부산,기장군,12.9,108095
2011,대구광역시,대구,중구,16.8,76600
2011,대구광역시,대구,동구,12.7,341206
2011,대구광역시,대구,서구,11.7,222619
2011,대구광역시,대구,남구,14.6,169095
2011,대구광역시,대구,북구,9,449775
2011,대구광역시,대구,수성구,10,461083
2011,대구광역시,대구,달서구,7.9,606542
2011,대구광역시,대구,달성군,10.1,180351
2011,인천광역시,인천,중구,12.4,93581
2011,인천광역시,인천,동구,13.7,78692
2011,인천광역시,인천,연수구,7.1,287903
2011,인천광역시,인천,남동구,8,495469
2011,인천광역시,인천,부평구,8.7,560936
2011,인천광역시,인천,계양구,6.8,344299
2011,인천광역시,인천,서구,6.8,436134
2011,인천광역시,인천,미추홀구,11,417996
2011,인천광역시,인천,강화군,24.8,66779
2011,인천광역시,인천,옹진군,19.4,19485
2011,광주광역시,광주,동구,15.9,106495
2011,광주광역시,광주,서구,8.7,317936
2011,광주광역시,광주,남구,11.4,219041
2011,광주광역시,광주,북구,9.3,444483
2011,광주광역시,광주,광산구,6.8,375509
2011,대전광역시,대전,동구,11.7,251285
2011,대전광역시,대전,중구,11.7,265502
2011,대전광역시,대전,서구,7.7,499124
2011,대전광역시,대전,유성구,6.4,294353
2011,대전광역시,대전,대덕구,8.9,205339
2011,울산광역시,울산,중구,8.1,232634
2011,울산광역시,울산,남구,6.2,343504
2011,울산광역시,울산,동구,5.8,172172
2011,울산광역시,울산,북구,5.4,182504
2011,울산광역시,울산,울주군,10.1,204680
2011,세종특별자치시,세종,본청,16.4,82890
2011,경기도,경기,수원시,7.2,1088489
2011,경기도,경기,성남시,8.9,979323
2011,경기도,경기,의정부시,10.2,430400
2011,경기도,경기,안양시,8.2,615642
2011,경기도,경기,부천시,7.6,872452
2011,경기도,경기,광명시,8.3,355226
2011,경기도,경기,평택시,10.3,426886
2011,경기도,경기,동두천시,13.5,96253
2011,경기도,경기,안산시,6.6,715586
2011,경기도,경기,고양시,9.3,961239
2011,경기도,경기,과천시,9.7,71955
2011,경기도,경기,구리시,8.4,194881
2011,경기도,경기,남양주시,9.5,578485
2011,경기도,경기,오산시,6.4,193892
2011,경기도,경기,시흥시,6.4,401149
2011,경기도,경기,군포시,8,287294
2011,경기도,경기,의왕시,8.6,149607
2011,경기도,경기,하남시,9.9,148397
2011,경기도,경기,용인시,9.1,896044
2011,경기도,경기,파주시,10.8,378790
2011,경기도,경기,이천시,10.5,204566
2011,경기도,경기,안성시,12.6,180743
2011,경기도,경기,김포시,10.3,256994
2011,경기도,경기,화성시,7.8,516765
2011,경기도,경기,광주시,9.1,265222
2011,경기도,경기,양주시,10.6,200360
2011,경기도,경기,포천시,13.2,157967
2011,경기도,경기,여주시,15.5,109120
2011,경기도,경기,연천군,20.2,44900
2011,경기도,경기,가평군,19.4,59358
2011,경기도,경기,양평군,18.8,99430
2011,강원도,강원,춘천시,13.5,272805
2011,강원도,강원,원주시,11.3,320536
2011,강원도,강원,강릉시,14.8,217571
2011,강원도,강원,동해시,13.6,95804
2011,강원도,강원,태백시,15.4,50176
2011,강원도,강원,속초시,13.2,83745
2011,강원도,강원,삼척시,18.1,72312
2011,강원도,강원,홍천군,19.3,69899
2011,강원도,강원,횡성군,22.2,44360
2011,강원도,강원,영월군,22.1,40199
2011,강원도,강원,평창군,19.9,43577
2011,강원도,강원,정선군,19.9,40181
2011,강원도,강원,철원군,16.9,48084
2011,강원도,강원,화천군,18.1,24945
2011,강원도,강원,양구군,17.1,22285
2011,강원도,강원,인제군,16.3,31970
2011,강원도,강원,고성군,21.4,30057
2011,강원도,강원,양양군,22,27942
2011,충청북도,충북,충주시,14.7,208433
2011,충청북도,충북,제천시,15.1,137689
2011,충청북도,충북,청주시,808915,9.44
2011,충청북도,충북,보은군,27.7,34717
2011,충청북도,충북,옥천군,21.9,53496
2011,충청북도,충북,영동군,24.9,50621
2011,충청북도,충북,진천군,15.5,63051
2011,충청북도,충북,괴산군,27.9,37333
2011,충청북도,충북,음성군,16.1,91644
2011,충청북도,충북,단양군,22.5,31595
2011,충청북도,충북,증평군,13.3,34009
2011,충청남도,충남,천안시,8.1,571377
2011,충청남도,충남,공주시,18.3,124748
2011,충청남도,충남,보령시,18.6,106421
2011,충청남도,충남,아산시,10.5,274523
2011,충청남도,충남,서산시,14.5,161489
2011,충청남도,충남,논산시,19.6,127533
2011,충청남도,충남,계룡시,7.3,42942
2011,충청남도,충남,당진시,15.5,150219
2011,충청남도,충남,금산군,23.3,56030
2011,충청남도,충남,부여군,25.6,74004
2011,충청남도,충남,서천군,26.9,59541
2011,충청남도,충남,청양군,29,32291
2011,충청남도,충남,홍성군,20.8,88108
2011,충청남도,충남,예산군,22.4,86421
2011,충청남도,충남,태안군,22.3,62747
2011,전라북도,전북,전주시,10,645894
2011,전라북도,전북,군산시,12.7,275659
2011,전라북도,전북,익산시,13.1,309804
2011,전라북도,전북,정읍시,21.1,120466
2011,전라북도,전북,남원시,21.1,87455
2011,전라북도,전북,김제시,24.3,93111
2011,전라북도,전북,완주군,18.6,84660
2011,전라북도,전북,진안군,26.8,28473
2011,전라북도,전북,무주군,26.9,25863
2011,전라북도,전북,장수군,27.4,23215
2011,전라북도,전북,임실군,29,30789
2011,전라북도,전북,순창군,29.1,29497
2011,전라북도,전북,고창군,27.1,60065
2011,전라북도,전북,부안군,25.3,59080
2011,전라남도,전남,목포시,10.7,244871
2011,전라남도,전남,여수시,12.9,292750
2011,전라남도,전남,순천시,11.7,272201
2011,전라남도,전남,나주시,24.1,88243
2011,전라남도,전남,광양시,9.3,150725
2011,전라남도,전남,담양군,25.2,47819
2011,전라남도,전남,곡성군,29.9,31332
2011,전라남도,전남,구례군,27.8,27422
2011,전라남도,전남,고흥군,32.6,72607
2011,전라남도,전남,보성군,30.1,47894
2011,전라남도,전남,화순군,20.8,68985
2011,전라남도,전남,장흥군,28.2,42552
2011,전라남도,전남,강진군,26.9,41599
2011,전라남도,전남,해남군,25.8,78346
2011,전라남도,전남,영암군,21.2,60139
2011,전라남도,전남,무안군,19.1,75718
2011,전라남도,전남,함평군,30.1,36134
2011,전라남도,전남,영광군,23.8,56863
2011,전라남도,전남,장성군,24.8,46245
2011,전라남도,전남,완도군,26.8,54037
2011,전라남도,전남,진도군,28.9,33502
2011,전라남도,전남,신안군,29.3,44355
2011,경상북도,경북,포항시,10.2,517088
2011,경상북도,경북,경주시,15.7,265488
2011,경상북도,경북,김천시,18.3,136185
2011,경상북도,경북,안동시,18.3,168157
