회계연도,지역명,자치단체코드,자치단체명,교부액,세출결산액,교부액비율(%),,,,교부액
2013,서울,1100000,서울본청,5.7648E+11,1.54698E+13,3.73,,,청원군,
2013,서울,1111000,서울종로구,37052516040,2.68655E+11,13.79,,,청주시,
2013,서울,1112000,서울중구,30341107790,2.53408E+11,11.97,,,,
2013,서울,1113000,서울용산구,38269068110,2.51963E+11,15.19,,,,
2013,서울,1114000,서울성동구,60996144850,3.00812E+11,20.28,,,,
2013,서울,1115000,서울광진구,71503349255,2.96191E+11,24.14,,,,
2013,서울,1116000,서울동대문구,68692400580,3.41657E+11,20.11,,,,
2013,서울,1117000,서울중랑구,88947715830,3.53572E+11,25.16,,,,
2013,서울,1118000,서울성북구,96547438209,4.08911E+11,23.61,,,,
2013,서울,1119000,서울강북구,66366674506,3.42225E+11,19.39,,,,
2013,서울,1120000,서울도봉구,84823042690,3.13498E+11,27.06,,,,
2013,서울,1121000,서울노원구,1.61222E+11,5.0926E+11,31.66,,,,
2013,서울,1122000,서울은평구,1.08037E+11,4.13603E+11,26.12,,,,
2013,서울,1123000,서울서대문구,59788508659,3.04195E+11,19.65,,,,
2013,서울,1124000,서울마포구,69725206758,3.33489E+11,20.91,,,,
2013,서울,1125000,서울양천구,81761779860,3.64411E+11,22.44,,,,
2013,서울,1126000,서울강서구,1.17964E+11,4.69957E+11,25.1,,,,
2013,서울,1127000,서울구로구,1.00344E+11,3.77534E+11,26.58,,,,
2013,서울,1128000,서울금천구,64422290290,2.85462E+11,22.57,,,,
2013,서울,1129000,서울영등포구,81649216247,3.57076E+11,22.87,,,,
2013,서울,1130000,서울동작구,70151934964,3.23984E+11,21.65,,,,
2013,서울,1131000,서울관악구,88350029214,3.89221E+11,22.7,,,,
2013,서울,1132000,서울서초구,80053677120,3.51279E+11,22.79,,,,
2013,서울,1133000,서울강남구,25196357144,5.04264E+11,5,,,,
2013,서울,1134000,서울송파구,1.47076E+11,4.32261E+11,34.02,,,,
2013,서울,1135000,서울강동구,91902423747,3.5703E+11,25.74,,,,
2013,부산,2600000,부산본청,2.09141E+11,6.95496E+12,3.01,,,,
2013,부산,2611000,부산중구,4663361890,1.07385E+11,4.34,,,,
2013,부산,2612000,부산서구,34240324140,1.76387E+11,19.41,,,,
2013,부산,2613000,부산동구,15258454680,1.6102E+11,9.48,,,,
2013,부산,2614000,부산영도구,30400234560,1.75143E+11,17.36,,,,
2013,부산,2615000,부산부산진구,25998900180,3.21576E+11,8.08,,,,
2013,부산,2616000,부산동래구,31674497490,2.11512E+11,14.98,,,,
2013,부산,2617000,부산남구,17966086280,2.46002E+11,7.3,,,,
2013,부산,2618000,부산북구,40736215950,2.79749E+11,14.56,,,,
2013,부산,2619000,부산해운대구,64714036030,3.63188E+11,17.82,,,,
2013,부산,2620000,부산사하구,29735645940,3.29518E+11,9.02,,,,
2013,부산,2621000,부산금정구,55245815950,2.45496E+11,22.5,,,,
2013,부산,2622000,부산강서구,29764811730,2.02706E+11,14.68,,,,
2013,부산,2623000,부산연제구,31577696540,2.07038E+11,15.25,,,,
2013,부산,2624000,부산수영구,17458675690,1.62145E+11,10.77,,,,
2013,부산,2625000,부산사상구,26700819930,2.39837E+11,11.13,,,,
2013,부산,2671000,부산기장군,38562063980,2.94471E+11,13.1,,,,
2013,대구,2700000,대구본청,2.58138E+11,4.69401E+12,5.5,,,,
2013,대구,2711000,대구중구,23403798151,1.37515E+11,17.02,,,,
2013,대구,2712000,대구동구,61438648656,3.7592E+11,16.34,,,,
2013,대구,2713000,대구서구,46255633790,2.0556E+11,22.5,,,,
2013,대구,2714000,대구남구,44298523905,1.87267E+11,23.66,,,,
2013,대구,2715000,대구북구,1.01855E+11,3.8094E+11,26.74,,,,
2013,대구,2716000,대구수성구,43986392832,3.64577E+11,12.07,,,,
2013,대구,2717000,대구달서구,1.14537E+11,4.4581E+11,25.69,,,,
2013,대구,2771000,대구달성군,66974636450,3.78933E+11,17.67,,,,
2013,인천,2800000,인천본청,1.37328E+11,5.60868E+12,2.45,,,,
2013,인천,2811000,인천중구,35031530074,2.01456E+11,17.39,,,,
2013,인천,2812000,인천동구,23609072648,1.28379E+11,18.39,,,,
2013,인천,2813000,인천남구,1.03739E+11,3.49896E+11,29.65,,,,
2013,인천,2814000,인천연수구,73329690323,2.79006E+11,26.28,,,,
2013,인천,2815000,인천남동구,1.24134E+11,4.26744E+11,29.09,,,,
2013,인천,2816000,인천부평구,1.14553E+11,4.65658E+11,24.6,,,,
2013,인천,2817000,인천계양구,74732194253,2.8526E+11,26.2,,,,
2013,인천,2818000,인천서구,1.24805E+11,4.41291E+11,28.28,,,,
2013,인천,2871000,인천강화군,51651993574,3.87119E+11,13.34,,,,
2013,인천,2872000,인천옹진군,44646167080,2.27201E+11,19.65,,,,
2013,광주,2900000,광주본청,1.3449E+11,3.10333E+12,4.33,,,,
2013,광주,2911000,광주동구,37662877590,1.90602E+11,19.76,,,,
2013,광주,2912000,광주서구,41086152063,3.11822E+11,13.18,,,,
2013,광주,2913000,광주남구,42825469216,2.72836E+11,15.7,,,,
2013,광주,2914000,광주북구,41028558047,4.29405E+11,9.55,,,,
2013,광주,2915000,광주광산구,54516866370,4.08047E+11,13.36,,,,
2013,대전,3000000,대전본청,76516545980,2.82889E+12,2.7,,,,
2013,대전,3011000,대전동구,78518982140,3.1364E+11,25.03,,,,
2013,대전,3012000,대전중구,72601548497,2.89978E+11,25.04,,,,
2013,대전,3013000,대전서구,67636356563,4.23747E+11,15.96,,,,
2013,대전,3014000,대전유성구,36383260170,3.24809E+11,11.2,,,,
2013,대전,3015000,대전대덕구,33970840899,2.62184E+11,12.96,,,,
2013,울산,3100000,울산본청,72608357928,2.01004E+12,3.61,,,,
2013,울산,3111000,울산중구,25665858260,2.29201E+11,11.2,,,,
2013,울산,3112000,울산남구,24743369464,3.03786E+11,8.14,,,,
2013,울산,3113000,울산동구,15694990691,1.80767E+11,8.68,,,,
2013,울산,3114000,울산북구,27519749585,2.13595E+11,12.88,,,,
2013,울산,3171000,울산울주군,55311188620,4.76568E+11,11.61,,,,
2013,세종,3200000,세종본청,61104835090,4.57988E+11,13.34,,,,
2013,경기,4100000,경기본청,2.42296E+11,1.30532E+13,1.86,,,,
2013,경기,4111000,경기수원시,1.49663E+11,1.4422E+12,10.38,,,,
2013,경기,4112000,경기성남시,75714307400,1.42637E+12,5.31,,,,
2013,경기,4120000,경기고양시,1.57836E+11,1.13887E+12,13.86,,,,
2013,경기,4129000,경기용인시,2.40614E+11,1.46375E+12,16.44,,,,
2013,경기,4115000,경기부천시,75242219640,9.09508E+11,8.27,,,,
2013,경기,4119000,경기안산시,70417295072,1.08904E+12,6.47,,,,
2013,경기,4114000,경기안양시,47838733230,7.65E+11,6.25,,,,
2013,경기,4123000,경기남양주시,96417975280,7.9493E+11,12.13,,,,
2013,경기,4134000,경기화성시,1.12551E+11,1.12388E+12,10.01,,,,
2013,경기,4117000,경기평택시,1.60401E+11,8.39771E+11,19.1,,,,
2013,경기,4113000,경기의정부시,1.17497E+11,5.58543E+11,21.04,,,,
2013,경기,4125000,경기시흥시,56800258004,5.81733E+11,9.76,,,,
2013,경기,4130000,경기파주시,1.54676E+11,6.87684E+11,22.49,,,,
2013,경기,4116000,경기광명시,93000600010,4.31279E+11,21.56,,,,
2013,경기,4133000,경기김포시,48983130130,5.72284E+11,8.56,,,,
2013,경기,4126000,경기군포시,22971931376,3.61607E+11,6.35,,,,
2013,경기,4135000,경기광주시,1.11965E+11,4.93383E+11,22.69,,,,
2013,경기,4131000,경기이천시,65827709758,5.25248E+11,12.53,,,,
2013,경기,4136000,경기양주시,46107606275,4.3985E+11,10.48,,,,
2013,경기,4124000,경기오산시,69169831843,2.96936E+11,23.29,,,,
2013,경기,4122000,경기구리시,20423028180,2.78497E+11,7.33,,,,
2013,경기,4132000,경기안성시,1.07664E+11,4.7179E+11,22.82,,,,
2013,경기,4137000,경기포천시,83540017450,4.84343E+11,17.25,,,,
2013,경기,4127000,경기의왕시,45780200896,2.63072E+11,17.4,,,,
2013,경기,4128000,경기하남시,45589235260,3.06839E+11,14.86,,,,
2013,경기,4138000,경기여주시,54607250366,3.67552E+11,14.86,,,,
2013,경기,4118000,경기동두천시,58076068120,2.78463E+11,20.86,,,,
2013,경기,4121000,경기과천시,23471331970,1.88846E+11,12.43,,,,
2013,경기,4178000,경기양평군,56422989370,3.807E+11,14.82,,,,
2013,경기,4177000,경기가평군,47405635721,2.78039E+11,17.05,,,,
2013,경기,4175000,경기연천군,44899095059,3.56249E+11,12.6,,,,
2013,강원,4200000,강원본청,98824939830,3.65694E+12,2.7,,,,
2013,강원,4211000,강원춘천시,79139759552,6.88452E+11,11.5,,,,
2013,강원,4212000,강원원주시,82499847430,7.17903E+11,11.49,,,,
2013,강원,4213000,강원강릉시,96045829469,5.85858E+11,16.39,,,,
2013,강원,4214000,강원동해시,67872587115,2.7604E+11,24.59,,,,
2013,강원,4215000,강원태백시,27204334850,2.28882E+11,11.89,,,,
2013,강원,4216000,강원속초시,29239989873,2.15507E+11,13.57,,,,
2013,강원,4217000,강원삼척시,47112562030,4.29253E+11,10.98,,,,
2013,강원,4271000,강원홍천군,52332451042,3.68243E+11,14.21,,,,
2013,강원,4272000,강원횡성군,37244654279,2.68458E+11,13.87,,,,
2013,강원,4273000,강원영월군,34502040460,2.86388E+11,12.05,,,,
2013,강원,4274000,강원평창군,43922152811,2.97272E+11,14.78,,,,
2013,강원,4275000,강원정선군,41724886210,2.91885E+11,14.29,,,,
2013,강원,4276000,강원철원군,35757630482,2.72021E+11,13.15,,,,
2013,강원,4277000,강원화천군,21950348690,2.20788E+11,9.94,,,,
2013,강원,4278000,강원양구군,23793895228,2.14631E+11,11.09,,,,
2013,강원,4279000,강원인제군,48308979971,2.73206E+11,17.68,,,,
2013,강원,4280000,강원고성군,25324695670,2.43785E+11,10.39,,,,
2013,강원,4281000,강원양양군,21380178240,2.02029E+11,10.58,,,,
2013,충북,4300000,충북본청,79884120380,3.06485E+12,2.61,,,,
2013,충북,4311000,충북청주시,2.1624E+11,9.76348E+11,22.15,,,,
2013,충북,4312000,충북충주시,88771623320,6.27793E+11,14.14,,,,
2013,충북,4313000,충북제천시,67822274000,4.61301E+11,14.7,,,,
2013,충북,4371000,충북청원군,80355485044,5.10273E+11,15.75,,,,
2013,충북,4372000,충북보은군,43564311760,2.61494E+11,16.66,,,,
2013,충북,4373000,충북옥천군,34826514230,2.75407E+11,12.65,,,,
2013,충북,4374000,충북영동군,36973698804,2.8756E+11,12.86,,,,
2013,충북,4379000,충북증평군,18511787160,1.60616E+11,11.53,,,,
2013,충북,4375000,충북진천군,33098911210,2.83968E+11,11.66,,,,
2013,충북,4376000,충북괴산군,37473422390,2.81054E+11,13.33,,,,
2013,충북,4377000,충북음성군,36132941026,3.40855E+11,10.6,,,,
2013,충북,4378000,충북단양군,28022768470,2.36476E+11,11.85,,,,
2013,충남,4400000,충남본청,78047558231,4.01578E+12,1.94,,,,
2013,충남,4411000,충남천안시,1.05569E+11,9.62837E+11,10.96,,,,
2013,충남,4412000,충남공주시,57348599330,4.63997E+11,12.36,,,,
2013,충남,4413000,충남보령시,71956488157,4.63501E+11,15.52,,,,
2013,충남,4414000,충남아산시,81796921791,7.23907E+11,11.3,,,,
