회계연도,지역명,자치단체코드,자치단체명,사회복지분야 결산액,세출결산액,사회복지비비율(%),,,,,
2012,서울,1100000,서울본청,3.97505E+12,1.50273E+13,26.45,,,,,
2012,서울,1111000,서울종로구,64062967336,2.35668E+11,27.18,,청원,1.00874E+11,4.48282E+11,
2012,서울,1112000,서울중구,73990192090,2.45232E+11,30.17,,청주시,3.43361E+11,8.44168E+11,
2012,서울,1113000,서울용산구,84357062690,2.34822E+11,35.92,,,4.44235E+11,1.29245E+12,34.37154987
2012,서울,1114000,서울성동구,1.00593E+11,2.88855E+11,34.82,,,,,
2012,서울,1115000,서울광진구,1.07625E+11,2.76746E+11,38.89,,,,,
2012,서울,1116000,서울동대문구,1.27769E+11,3.02771E+11,42.2,,,,,
2012,서울,1117000,서울중랑구,1.54581E+11,3.14824E+11,49.1,,,,,
2012,서울,1118000,서울성북구,1.63642E+11,3.68579E+11,44.4,,,,,
2012,서울,1119000,서울강북구,1.483E+11,3.02943E+11,48.95,,,,,
2012,서울,1120000,서울도봉구,1.28149E+11,2.87453E+11,44.58,,,,,
2012,서울,1121000,서울노원구,2.52543E+11,4.63672E+11,54.47,,,,,
2012,서울,1122000,서울은평구,1.83487E+11,3.60376E+11,50.92,,,,,
2012,서울,1123000,서울서대문구,1.00371E+11,2.70429E+11,37.12,,,,,
2012,서울,1124000,서울마포구,1.27187E+11,2.93249E+11,43.37,,,,,
2012,서울,1125000,서울양천구,1.49162E+11,3.31608E+11,44.98,,,,,
2012,서울,1126000,서울강서구,2.24539E+11,4.25339E+11,52.79,,,,,
2012,서울,1127000,서울구로구,1.56237E+11,3.4679E+11,45.05,,,,,
2012,서울,1128000,서울금천구,1.23362E+11,2.60626E+11,47.33,,,,,
2012,서울,1129000,서울영등포구,1.25746E+11,3.34613E+11,37.58,,,,,
2012,서울,1130000,서울동작구,1.28915E+11,2.91094E+11,44.29,,,,,
2012,서울,1131000,서울관악구,1.64807E+11,3.4943E+11,47.16,,,,,
2012,서울,1132000,서울서초구,87658658130,2.85802E+11,30.67,,,,,
2012,서울,1133000,서울강남구,1.73361E+11,5.02125E+11,34.53,,,,,
2012,서울,1134000,서울송파구,1.6426E+11,4.04956E+11,40.56,,,,,
2012,서울,1135000,서울강동구,1.40675E+11,3.21231E+11,43.79,,,,,
2012,부산,2600000,부산본청,1.74459E+12,6.08198E+12,28.68,,,,,
2012,부산,2611000,부산중구,31541321410,97899611930,32.22,,,,,
2012,부산,2612000,부산서구,77577642170,1.66604E+11,46.56,,,,,
2012,부산,2613000,부산동구,70226417080,1.48466E+11,47.3,,,,,
2012,부산,2614000,부산영도구,83662959990,1.63477E+11,51.18,,,,,
2012,부산,2615000,부산부산진구,1.58314E+11,2.84885E+11,55.57,,,,,
2012,부산,2616000,부산동래구,96382882320,1.91743E+11,50.27,,,,,
2012,부산,2617000,부산남구,1.09698E+11,2.26747E+11,48.38,,,,,
2012,부산,2618000,부산북구,1.56633E+11,2.53981E+11,61.67,,,,,
2012,부산,2619000,부산해운대구,1.79075E+11,3.19446E+11,56.06,,,,,
2012,부산,2620000,부산사하구,1.61331E+11,3.02095E+11,53.4,,,,,
2012,부산,2621000,부산금정구,1.10607E+11,2.28852E+11,48.33,,,,,
2012,부산,2622000,부산강서구,40962079210,1.67674E+11,24.43,,,,,
2012,부산,2623000,부산연제구,91559785920,1.74633E+11,52.43,,,,,
2012,부산,2624000,부산수영구,68520699100,1.48769E+11,46.06,,,,,
2012,부산,2625000,부산사상구,1.1554E+11,2.31345E+11,49.94,,,,,
2012,부산,2671000,부산기장군,70032398656,2.78709E+11,25.13,,,,,
2012,대구,2700000,대구본청,1.11666E+12,3.99393E+12,27.96,,,,,
2012,대구,2711000,대구중구,49606719012,1.36852E+11,36.25,,,,,
2012,대구,2712000,대구동구,1.84274E+11,3.28919E+11,56.02,,,,,
2012,대구,2713000,대구서구,1.05153E+11,1.88746E+11,55.71,,,,,
2012,대구,2714000,대구남구,95956194200,1.76813E+11,54.27,,,,,
2012,대구,2715000,대구북구,1.90544E+11,3.31659E+11,57.45,,,,,
2012,대구,2716000,대구수성구,1.79335E+11,3.16176E+11,56.72,,,,,
2012,대구,2717000,대구달서구,2.33633E+11,3.81224E+11,61.29,,,,,
2012,대구,2771000,대구달성군,99721999480,3.34567E+11,29.81,,,,,
2012,인천,2800000,인천본청,1.21356E+12,4.61437E+12,26.3,,,,,
2012,인천,2811000,인천중구,60972921170,2.04437E+11,29.82,,,,,
2012,인천,2812000,인천동구,52326439478,1.28908E+11,40.59,,,,,
2012,인천,2813000,인천남구,1.71617E+11,3.09806E+11,55.4,,,,,
2012,인천,2814000,인천연수구,1.24414E+11,2.55727E+11,48.65,,,,,
2012,인천,2815000,인천남동구,2.05321E+11,3.90447E+11,52.59,,,,,
2012,인천,2816000,인천부평구,2.32153E+11,4.02008E+11,57.75,,,,,
2012,인천,2817000,인천계양구,1.26908E+11,2.43345E+11,52.15,,,,,
2012,인천,2818000,인천서구,1.73693E+11,3.45735E+11,50.24,,,,,
2012,인천,2871000,인천강화군,54146598790,3.20401E+11,16.9,,,,,
2012,인천,2872000,인천옹진군,22308933980,2.3649E+11,9.43,,,,,
2012,광주,2900000,광주본청,8.47399E+11,2.71002E+12,31.27,,,,,
2012,광주,2911000,광주동구,76954829830,1.65893E+11,46.39,,,,,
2012,광주,2912000,광주서구,1.47544E+11,2.72566E+11,54.13,,,,,
2012,광주,2913000,광주남구,1.17765E+11,2.47498E+11,47.58,,,,,
2012,광주,2914000,광주북구,2.26365E+11,3.8844E+11,58.28,,,,,
2012,광주,2915000,광주광산구,2.00661E+11,3.59407E+11,55.83,,,,,
2012,대전,3000000,대전본청,7.54239E+11,2.3803E+12,31.69,,,,,
2012,대전,3011000,대전동구,1.54569E+11,2.91227E+11,53.08,,,,,
2012,대전,3012000,대전중구,1.28977E+11,2.4888E+11,51.82,,,,,
2012,대전,3013000,대전서구,1.95897E+11,3.69275E+11,53.05,,,,,
2012,대전,3014000,대전유성구,1.12778E+11,2.67981E+11,42.08,,,,,
2012,대전,3015000,대전대덕구,1.10197E+11,2.37206E+11,46.46,,,,,
2012,울산,3100000,울산본청,4.31013E+11,1.93525E+12,22.27,,,,,
2012,울산,3111000,울산중구,73801198038,1.98955E+11,37.09,,,,,
2012,울산,3112000,울산남구,99634177830,2.49431E+11,39.94,,,,,
2012,울산,3113000,울산동구,60169490363,1.48853E+11,40.42,,,,,
2012,울산,3114000,울산북구,72753136390,1.81549E+11,40.07,,,,,
2012,울산,3171000,울산울주군,1.042E+11,4.20186E+11,24.8,,,,,
2012,세종,3200000,세종본청,37818848740,1.76554E+11,21.42,,,,,
2012,경기,4100000,경기본청,3.32029E+12,1.306E+13,25.42,,,,,
2012,경기,4111000,경기수원시,3.82325E+11,1.24334E+12,30.75,,,,,
2012,경기,4112000,경기성남시,3.86393E+11,1.28637E+12,30.04,,,,,
2012,경기,4120000,경기고양시,3.36999E+11,1.0971E+12,30.72,,,,,
2012,경기,4129000,경기용인시,3.55136E+11,1.78322E+12,19.92,,,,,
2012,경기,4115000,경기부천시,3.08646E+11,8.98982E+11,34.33,,,,,
2012,경기,4119000,경기안산시,3.20515E+11,8.83149E+11,36.29,,,,,
2012,경기,4114000,경기안양시,2.07858E+11,6.91507E+11,30.06,,,,,
2012,경기,4123000,경기남양주시,2.47193E+11,7.53851E+11,32.79,,,,,
2012,경기,4134000,경기화성시,2.41984E+11,9.67781E+11,25,,,,,
2012,경기,4117000,경기평택시,1.81863E+11,7.75036E+11,23.47,,,,,
2012,경기,4113000,경기의정부시,2.02361E+11,5.87464E+11,34.45,,,,,
2012,경기,4125000,경기시흥시,1.67157E+11,5.42696E+11,30.8,,,,,
2012,경기,4130000,경기파주시,1.73539E+11,6.58475E+11,26.35,,,,,
2012,경기,4116000,경기광명시,1.38651E+11,3.83437E+11,36.16,,,,,
2012,경기,4133000,경기김포시,1.27911E+11,4.63755E+11,27.58,,,,,
2012,경기,4126000,경기군포시,1.07436E+11,3.14222E+11,34.19,,,,,
2012,경기,4135000,경기광주시,1.25942E+11,4.94817E+11,25.45,,,,,
2012,경기,4131000,경기이천시,1.14889E+11,4.57543E+11,25.11,,,,,
2012,경기,4136000,경기양주시,1.14004E+11,4.81951E+11,23.65,,,,,
2012,경기,4124000,경기오산시,81538105322,2.47881E+11,32.89,,,,,
2012,경기,4122000,경기구리시,77321817260,2.61671E+11,29.55,,,,,
2012,경기,4132000,경기안성시,1.0763E+11,4.37823E+11,24.58,,,,,
2012,경기,4137000,경기포천시,95425997390,4.71121E+11,20.26,,,,,
2012,경기,4127000,경기의왕시,63982538660,2.25348E+11,28.39,,,,,
2012,경기,4128000,경기하남시,63791426560,3.25347E+11,19.61,,,,,
2012,경기,4118000,경기동두천시,68652758530,3.04469E+11,22.55,,,,,
2012,경기,4121000,경기과천시,42778649580,2.41569E+11,17.71,,,,,
2012,경기,4172000,경기여주군,69460469305,3.39601E+11,20.45,,,,,
2012,경기,4178000,경기양평군,68379159050,3.69438E+11,18.51,,,,,
2012,경기,4177000,경기가평군,61198731960,2.99101E+11,20.46,,,,,
2012,경기,4175000,경기연천군,38338817610,3.21618E+11,11.92,,,,,
2012,강원,4200000,강원본청,7.07105E+11,3.26516E+12,21.66,,,,,
2012,강원,4211000,강원춘천시,1.69623E+11,6.27015E+11,27.05,,,,,
2012,강원,4212000,강원원주시,1.76748E+11,6.25343E+11,28.26,,,,,
2012,강원,4213000,강원강릉시,1.34527E+11,5.51236E+11,24.4,,,,,
2012,강원,4214000,강원동해시,61680599317,2.54702E+11,24.22,,,,,
2012,강원,4215000,강원태백시,36317590340,2.15381E+11,16.86,,,,,
