"회계연도","지역명","자치단체코드","자치단체명","사회복지분야 결산액","세출결산액","사회복지비비율(%)"
"2014","서울","1100000","서울본청","5368798834172","16912580407640","31.74"
"2014","서울","1111000","서울종로구","88114593760","276725242730","31.84"
"2014","서울","1112000","서울중구","85613352690","271717632350","31.51"
"2014","서울","1113000","서울용산구","109005567480","267307024550","40.78"
"2014","서울","1114000","서울성동구","142215179110","334523153300","42.51"
"2014","서울","1115000","서울광진구","149045864663","328991213496","45.30"
"2014","서울","1116000","서울동대문구","177281435590","372741478298","47.56"
"2014","서울","1117000","서울중랑구","218177820751","409712509428","53.25"
"2014","서울","1118000","서울성북구","234091706875","462474428446","50.62"
"2014","서울","1119000","서울강북구","202811278942","380218902078","53.34"
"2014","서울","1120000","서울도봉구","179907767299","353369169695","50.91"
"2014","서울","1121000","서울노원구","338544988210","563038645490","60.13"
"2014","서울","1122000","서울은평구","259690698430","450816259315","57.60"
"2014","서울","1123000","서울서대문구","147072634400","321099895153","45.80"
"2014","서울","1124000","서울마포구","179981439694","370878977500","48.53"
"2014","서울","1125000","서울양천구","215314107465","411478081772","52.33"
"2014","서울","1126000","서울강서구","308539998420","517302546260","59.64"
"2014","서울","1127000","서울구로구","220293939910","431282184200","51.08"
"2014","서울","1128000","서울금천구","146701722040","286195926440","51.26"
"2014","서울","1129000","서울영등포구","176398473426","399173002866","44.19"
"2014","서울","1130000","서울동작구","179489025034","345272787071","51.98"
"2014","서울","1131000","서울관악구","230796545644","442549551822","52.15"
"2014","서울","1132000","서울서초구","146945630431","357667315579","41.08"
"2014","서울","1133000","서울강남구","238174166940","550221039231","43.29"
"2014","서울","1134000","서울송파구","245583082613","483806178368","50.76"
"2014","서울","1135000","서울강동구","208109703148","395904580462","52.57"
"2014","부산","2600000","부산본청","2256039406090","6861266320700","32.88"
"2014","부산","2611000","부산중구","38787018710","105961246910","36.60"
"2014","부산","2612000","부산서구","96075803030","189918376100","50.59"
"2014","부산","2613000","부산동구","88423342930","177038081120","49.95"
"2014","부산","2614000","부산영도구","108255989340","190922656350","56.70"
"2014","부산","2615000","부산부산진구","214631115710","361584799280","59.36"
"2014","부산","2616000","부산동래구","129368663090","239139853820","54.10"
"2014","부산","2617000","부산남구","149859184800","269414005290","55.62"
"2014","부산","2618000","부산북구","193727234130","302908569260","63.96"
"2014","부산","2619000","부산해운대구","222853427120","394407575680","56.50"
"2014","부산","2620000","부산사하구","211098554640","350332274690","60.26"
"2014","부산","2621000","부산금정구","141281413670","259987875200","54.34"
"2014","부산","2622000","부산강서구","58844686977","203923783653","28.86"
"2014","부산","2623000","부산연제구","120645196010","212809194640","56.69"
"2014","부산","2624000","부산수영구","93416718020","187463738380","49.83"
"2014","부산","2625000","부산사상구","151333655690","270287791640","55.99"
"2014","부산","2671000","부산기장군","113865281180","345123964587","32.99"
"2014","대구","2700000","대구본청","1460592645860","4553981592576","32.07"
"2014","대구","2711000","대구중구","65291842034","152955280692","42.69"
"2014","대구","2712000","대구동구","240687247013","391386640304","61.50"
"2014","대구","2713000","대구서구","133600608210","231403354900","57.73"
"2014","대구","2714000","대구남구","124704185166","210020163742","59.38"
"2014","대구","2715000","대구북구","241296035090","398808082290","60.50"
"2014","대구","2716000","대구수성구","231103724361","393856824985","58.68"
"2014","대구","2717000","대구달서구","312034114770","496109344341","62.90"
"2014","대구","2771000","대구달성군","129207873626","415388671824","31.11"
"2014","인천","2800000","인천본청","1584663004593","5041686253674","31.43"
"2014","인천","2811000","인천중구","76752043086","238220610479","32.22"
"2014","인천","2812000","인천동구","60586392104","146229393281","41.43"
"2014","인천","2813000","인천남구","233346889838","397506515855","58.70"
"2014","인천","2814000","인천연수구","163547157282","300554116382","54.42"
"2014","인천","2815000","인천남동구","271215551861","471747679877","57.49"
"2014","인천","2816000","인천부평구","306967412101","507755240619","60.46"
"2014","인천","2817000","인천계양구","171237938280","303253389463","56.47"
"2014","인천","2818000","인천서구","247538187305","445977177479","55.50"
"2014","인천","2871000","인천강화군","65810204081","395141079198","16.65"
"2014","인천","2872000","인천옹진군","28187722980","229019269100","12.31"
"2014","광주","2900000","광주본청","1068069414230","3141317143013","34.00"
"2014","광주","2911000","광주동구","102783356650","199958856600","51.40"
"2014","광주","2912000","광주서구","191127983729","324969996090","58.81"
"2014","광주","2913000","광주남구","155146452935","289733606742","53.55"
"2014","광주","2914000","광주북구","292877249108","460257956841","63.63"
"2014","광주","2915000","광주광산구","259951898127","440866939465","58.96"
"2014","대전","3000000","대전본청","993382528020","2808961372240","35.36"
"2014","대전","3011000","대전동구","190803085610","329132986820","57.97"
"2014","대전","3012000","대전중구","169396063126","292142455519","57.98"
"2014","대전","3013000","대전서구","254237164456","435492852008","58.38"
"2014","대전","3014000","대전유성구","160362554710","337131132950","47.57"
"2014","대전","3015000","대전대덕구","141641397607","286733169256","49.40"
"2014","울산","3100000","울산본청","574959295413","2134648743168","26.93"
"2014","울산","3111000","울산중구","107379815062","245667915702","43.71"
"2014","울산","3112000","울산남구","144528756875","325405029566","44.42"
"2014","울산","3113000","울산동구","89785526809","200275853530","44.83"
"2014","울산","3114000","울산북구","99020130615","220672256911","44.87"
"2014","울산","3171000","울산울주군","137032775190","546388926440","25.08"
"2014","세종","3200000","세종본청","113776828694","630027380356","18.06"
"2014","경기","4100000","경기본청","4810133401450","14314885294668","33.60"
"2014","경기","4111000","경기수원시","581301801730","1579127676424","36.81"
"2014","경기","4112000","경기성남시","531139469019","1404202837444","37.82"
"2014","경기","4120000","경기고양시","491674492700","1169219543390","42.05"
"2014","경기","4129000","경기용인시","464401475574","1461317351497","31.78"
"2014","경기","4115000","경기부천시","415792637310","968593606880","42.93"
"2014","경기","4119000","경기안산시","395237811150","991327695865","39.87"
"2014","경기","4114000","경기안양시","283582797350","769429129339","36.86"
"2014","경기","4123000","경기남양주시","343747982480","822022891900","41.82"
"2014","경기","4134000","경기화성시","307648419982","1163410580840","26.44"
"2014","경기","4117000","경기평택시","246764032774","860791082340","28.67"
"2014","경기","4113000","경기의정부시","258747034282","575015447734","45.00"
"2014","경기","4125000","경기시흥시","218030516950","620138987024","35.16"
"2014","경기","4130000","경기파주시","238213712700","697444658210","34.16"
"2014","경기","4116000","경기광명시","201999530480","455022781760","44.39"
"2014","경기","4133000","경기김포시","189649454610","546714536180","34.69"
"2014","경기","4126000","경기군포시","154562794842","396806800909","38.95"
"2014","경기","4135000","경기광주시","180253870430","487418174507","36.98"
"2014","경기","4131000","경기이천시","156961404837","533680904103","29.41"
"2014","경기","4136000","경기양주시","133282593990","440474247310","30.26"
"2014","경기","4124000","경기오산시","117939808859","300167440900","39.29"
"2014","경기","4122000","경기구리시","102292571090","294708061960","34.71"
"2014","경기","4132000","경기안성시","137064715520","490867312372","27.92"
"2014","경기","4137000","경기포천시","124695330399","488671931853","25.52"
"2014","경기","4127000","경기의왕시","93752188270","260969590050","35.92"
"2014","경기","4128000","경기하남시","85313530730","305931697310","27.89"
"2014","경기","4138000","경기여주시","89755321850","384323287789","23.35"
"2014","경기","4118000","경기동두천시","87144793220","238569513740","36.53"
"2014","경기","4121000","경기과천시","44725681870","179004347914","24.99"
"2014","경기","4178000","경기양평군","95032820850","381928757695","24.88"
"2014","경기","4177000","경기가평군","74869888870","295190169545","25.36"
"2014","경기","4175000","경기연천군","46450139060","327393194665","14.19"
"2014","강원","4200000","강원본청","905380171560","3640848567695","24.87"
"2014","강원","4211000","강원춘천시","220909125281","689832472516","32.02"
"2014","강원","4212000","강원원주시","230898066540","736703766460","31.34"
"2014","강원","4213000","강원강릉시","178231946686","602480662973","29.58"
"2014","강원","4214000","강원동해시","75424776476","260783032344","28.92"
"2014","강원","4215000","강원태백시","49339232160","232514580712","21.22"
"2014","강원","4216000","강원속초시","74924956444","236743341480","31.65"
"2014","강원","4217000","강원삼척시","78366754831","406807163727","19.26"
"2014","강원","4271000","강원홍천군","64918122828","410981727006","15.80"
"2014","강원","4272000","강원횡성군","46990668637","294567539491","15.95"
"2014","강원","4273000","강원영월군","44512623504","274031208672","16.24"
"2014","강원","4274000","강원평창군","41471126430","307780399564","13.47"
"2014","강원","4275000","강원정선군","45639562206","285894133376","15.96"
"2014","강원","4276000","강원철원군","43722159592","272542615935","16.04"
"2014","강원","4277000","강원화천군","31831073592","212579263272","14.97"
"2014","강원","4278000","강원양구군","30448054794","207767425600","14.65"
"2014","강원","4279000","강원인제군","37738927258","258982579161","14.57"
"2014","강원","4280000","강원고성군","34544799330","242177693322","14.26"
"2014","강원","4281000","강원양양군","35079208284","199027965370","17.63"
"2014","충북","4300000","충북본청","964472487720","3182187505860","30.31"
"2014","충북","4314000","충북청주시(신)","565860996219","1591969561508","35.54"
"2014","충북","4312000","충북충주시","163343019250","615119988360","26.55"
"2014","충북","4313000","충북제천시","125550435400","491453592560","25.55"
"2014","충북","4372000","충북보은군","38951462480","256100637930","15.21"
"2014","충북","4373000","충북옥천군","60067159640","269830895010","22.26"
"2014","충북","4374000","충북영동군","52006555330","315248394590","16.50"
"2014","충북","4379000","충북증평군","32263380830","177004772210","18.23"
"2014","충북","4375000","충북진천군","57444830990","296633389050","19.37"
"2014","충북","4376000","충북괴산군","46264825950","314191891730","14.73"
"2014","충북","4377000","충북음성군","96494585170","361070253110","26.72"
"2014","충북","4378000","충북단양군","38488458580","228348716780","16.86"
"2014","충남","4400000","충남본청","1153421428200","4324615585497","26.67"
"2014","충남","4411000","충남천안시","336806666701","1028932022046","32.73"
"2014","충남","4412000","충남공주시","112406371800","484072572780","23.22"
"2014","충남","4413000","충남보령시","107001054382","477540842899","22.41"
"2014","충남","4414000","충남아산시","215082210665","759453043153","28.32"
"2014","충남","4415000","충남서산시","134255270450","559242582900","24.01"
"2014","충남","4416000","충남논산시","137838552860","495677856770","27.81"
"2014","충남","4417000","충남계룡시","27198014200","119711619636","22.72"
"2014","충남","4418000","충남당진시","117886575640","559965691410","21.05"
"2014","충남","4471000","충남금산군","60957391017","313557884623","19.44"
"2014","충남","4473000","충남부여군","79437838010","416490934846","19.07"
"2014","충남","4474000","충남서천군","76099226148","370084711601","20.56"
"2014","충남","4475000","충남청양군","37905041300","264417929544","14.34"
"2014","충남","4476000","충남홍성군","81394542530","400376499185","20.33"
"2014","충남","4477000","충남예산군","68207369271","405460501312","16.82"
"2014","충남","4478000","충남태안군","57230383175","309192982293","18.51"
"2014","전북","4500000","전북본청","1316686554510","4344881199162","30.30"
"2014","전북","4511000","전북전주시","430452587768","1090879930292","39.46"
"2014","전북","4512000","전북군산시","233013630485","735207016470","31.69"
"2014","전북","4513000","전북익산시","268348803392","766531143089","35.01"
"2014","전북","4514000","전북정읍시","146893426990","546802361252","26.86"
"2014","전북","4515000","전북남원시","102191352438","487834618886","20.95"
"2014","전북","4516000","전북김제시","114301709250","524454002605","21.79"
"2014","전북","4571000","전북완주군","102311168450","520706929180","19.65"
