"회계연도","지역명","자치단체코드","자치단체명","자체수입(개편전)","자치단체 예산규모","자체수입(개편후)","재정자립도[최종](개편전)(%)","재정자립도[최종](개편후)(%)"
"2014","서울","1100000","서울본청","13387770467000","16231064430000","12857834841000","82.48","79.22"
"2014","서울","1111000","서울종로구","172397290000","305381944000","140136611000","56.45","45.89"
"2014","서울","1112000","서울중구","197324861000","287334621000","167902816000","68.67","58.43"
"2014","서울","1113000","서울용산구","136581201000","282475544000","110134370000","48.35","38.99"
"2014","서울","1114000","서울성동구","147752403000","353544415000","105630423000","41.79","29.88"
"2014","서울","1115000","서울광진구","117195818000","351455350000","87915113000","33.35","25.01"
"2014","서울","1116000","서울동대문구","121274096000","381067142000","101202565000","31.82","26.56"
"2014","서울","1117000","서울중랑구","115397220000","422747874000","97032650000","27.30","22.95"
"2014","서울","1118000","서울성북구","122701188000","470387549000","102761336000","26.09","21.85"
"2014","서울","1119000","서울강북구","96167813000","399531156000","72814291000","24.07","18.22"
"2014","서울","1120000","서울도봉구","92063584000","370652287000","71580407000","24.84","19.31"
"2014","서울","1121000","서울노원구","115949492000","603796892000","93082135000","19.20","15.42"
"2014","서울","1122000","서울은평구","110325482000","465706884000","93020169000","23.69","19.97"
"2014","서울","1123000","서울서대문구","111329010000","346099081000","87295334000","32.17","25.22"
"2014","서울","1124000","서울마포구","164365406000","400226793000","120758433000","41.07","30.17"
"2014","서울","1125000","서울양천구","135862438000","430215028000","116187588000","31.58","27.01"
"2014","서울","1126000","서울강서구","137096841000","543056523000","115596841000","25.25","21.29"
"2014","서울","1127000","서울구로구","131250521000","451636475000","114352712000","29.06","25.32"
"2014","서울","1128000","서울금천구","103580386000","303023892000","83679236000","34.18","27.61"
"2014","서울","1129000","서울영등포구","191431771000","418971322000","162017090000","45.69","38.67"
"2014","서울","1130000","서울동작구","116422649000","362916103000","107837432000","32.08","29.71"
"2014","서울","1131000","서울관악구","135269245000","477960895000","102798030000","28.30","21.51"
"2014","서울","1132000","서울서초구","266381577000","401391004000","250925106000","66.36","62.51"
"2014","서울","1133000","서울강남구","411548575000","607497692000","345667816000","67.74","56.90"
"2014","서울","1134000","서울송파구","243254255000","510237029000","210863033000","47.67","41.33"
"2014","서울","1135000","서울강동구","135299777000","423349990000","116839777000","31.96","27.60"
"2014","부산","2600000","부산본청","3450090769000","6748357947000","3074341893000","51.12","45.56"
"2014","부산","2611000","부산중구","33726371000","115831561000","22676737000","29.12","19.58"
"2014","부산","2612000","부산서구","32147842000","213951087000","21910902000","15.03","10.24"
"2014","부산","2613000","부산동구","36267062000","192158350000","26731246000","18.87","13.91"
