자치단체명,재정자립도[최종](개편후)(%)
서울본청,71.96 
서울종로구,39.87 
서울중구,48.12 
서울용산구,35.65 
서울성동구,29.76 
서울광진구,23.24 
서울동대문구,22.01 
서울중랑구,16.23 
서울성북구,17.44 
서울강북구,15.61 
서울도봉구,16.20 
서울노원구,13.80 
서울은평구,15.89 
서울서대문구,21.91 
서울마포구,27.80 
서울양천구,22.22 
서울강서구,18.99 
서울구로구,20.93 
서울금천구,22.03 
서울영등포구,32.07 
서울동작구,23.36 
서울관악구,17.01 
서울서초구,48.95 
서울강남구,49.83 
서울송파구,34.67 
서울강동구,26.90 
부산본청,45.40 
부산중구,17.97 
부산서구,10.89 
부산동구,15.16 
부산영도구,9.32 
부산부산진구,19.99 
부산동래구,17.99 
부산남구,18.88 
부산북구,12.40 
부산해운대구,27.60 
부산사하구,15.96 
부산금정구,17.22 
부산강서구,39.03 
부산연제구,17.53 
부산수영구,16.81 
부산사상구,18.92 
부산기장군,31.18 
대구본청,43.30 
대구중구,23.43 
대구동구,16.95 
대구서구,12.68 
대구남구,9.40 
대구북구,17.88 
대구수성구,26.89 
대구달서구,23.26 
대구달성군,25.12 
인천본청,55.99 
인천중구,39.56 
인천동구,8.70 
인천미추홀구,16.18 
인천연수구,30.96 
인천남동구,22.80 
인천부평구,18.70 
인천계양구,17.75 
인천서구,32.92 
인천강화군,11.05 
인천옹진군,8.59 
광주본청,39.18 
광주동구,10.99 
광주서구,18.70 
광주남구,12.21 
광주북구,13.51 
광주광산구,20.17 
대전본청,39.66 
대전동구,11.02 
대전중구,13.79 
대전서구,17.23 
대전유성구,28.05 
대전대덕구,15.29 
울산본청,50.01 
울산중구,15.66 
울산남구,27.88 
울산동구,19.00 
울산북구,26.74 
울산울주군,37.99 
세종본청,52.15 
경기본청,52.73 
경기수원시,49.79 
경기성남시,56.23 
경기고양시,36.51 
경기용인시,53.47 
경기부천시,35.07 
경기안산시,39.06 
경기안양시,39.48 
경기남양주시,32.32 
경기화성시,57.34 
경기평택시,42.20 
경기의정부시,26.07 
경기시흥시,37.77 
경기파주시,27.92 
경기광명시,33.18 
경기김포시,37.59 
경기군포시,33.09 
경기광주시,32.43 
경기이천시,47.65 
경기양주시,29.37 
경기오산시,27.16 
경기구리시,31.03 
경기안성시,28.33 
경기포천시,19.06 
경기의왕시,41.39 
경기하남시,40.92 
경기여주시,21.21 
경기동두천시,12.76 
경기과천시,29.30 
경기양평군,16.76 
경기가평군,16.41 
경기연천군,16.57 
강원본청,23.56 
강원춘천시,25.02 
강원원주시,26.95 
강원강릉시,17.12 
강원동해시,18.86 
강원태백시,18.43 
강원속초시,18.58 
강원삼척시,14.90 
강원홍천군,11.19 
강원횡성군,9.01 
강원영월군,13.02 
강원평창군,10.06 
강원정선군,19.68 
강원철원군,7.95 
강원화천군,6.56 
강원양구군,6.89 
강원인제군,6.95 
강원고성군,10.85 
강원양양군,9.98 
충북본청,24.42 
충북청주시,31.80 
충북충주시,16.41 
충북제천시,13.65 
충북보은군,7.28 
충북옥천군,10.48 
충북영동군,6.16 
충북증평군,13.22 
충북진천군,25.60 
충북괴산군,6.77 
충북음성군,24.16 
충북단양군,8.94 
충남본청,30.46 
충남천안시,36.24 
충남공주시,13.28 
충남보령시,14.01 
충남아산시,39.95 
충남서산시,27.92 
충남논산시,10.55 
충남계룡시,12.09 
충남당진시,27.69 
충남금산군,11.71 
충남부여군,7.44 
충남서천군,9.35 
충남청양군,9.67 
충남홍성군,13.36 
충남예산군,11.07 
충남태안군,12.74 
전북본청,18.90 
전북전주시,26.25 
전북군산시,18.81 
전북익산시,16.03 
전북정읍시,8.89 
전북남원시,7.66 
전북김제시,9.20 
전북완주군,20.27 
전북진안군,5.48 
전북무주군,7.46 
전북장수군,6.14 
전북임실군,6.17 
전북순창군,8.34 
전북고창군,5.93 
전북부안군,7.26 
전남본청,14.98 
전남목포시,18.22 
전남여수시,30.69 
전남순천시,18.48 
전남나주시,14.66 
전남광양시,26.03 
전남담양군,10.26 
전남곡성군,6.39 
전남구례군,6.20 
전남고흥군,5.00 
전남보성군,6.17 
전남화순군,15.67 
전남장흥군,5.83 
전남강진군,6.91 
전남해남군,5.78 
전남영암군,11.37 
전남무안군,11.92 
전남함평군,5.77 
전남영광군,9.51 
전남장성군,8.48 
전남완도군,6.11 
전남진도군,6.11 
전남신안군,4.40 
경북본청,22.57 
경북포항시,25.36 
경북경주시,21.05 
경북김천시,11.51 
경북안동시,10.94 
경북구미시,45.01 
경북영주시,10.43 
경북영천시,12.89 
경북상주시,7.56 
경북문경시,10.99 
경북경산시,23.42 
경북군위군,5.87 
경북의성군,6.83 
경북청송군,5.79 
경북영양군,3.58 
경북영덕군,6.03 
경북청도군,8.00 
경북고령군,10.69 
경북성주군,9.53 
경북칠곡군,24.63 
경북예천군,8.79 
경북봉화군,4.78 
경북울진군,16.30 
경북울릉군,9.97 
경남본청,32.18 
경남창원시,34.25 
경남진주시,17.49 
경남통영시,14.40 
경남사천시,16.92 
경남김해시,32.14 
경남밀양시,13.83 
경남거제시,26.07 
경남양산시,31.85 
경남의령군,7.38 
경남함안군,15.11 
경남창녕군,10.55 
경남고성군,9.12 
경남남해군,7.08 
경남하동군,8.90 
경남산청군,7.01 
경남함양군,5.12 
경남거창군,6.72 
경남합천군,7.73 
제주본청,34.99 
