,,,"단위 : 백만원, %"
자치단체,"채무잔액
(A)","최종예산액
(B)","예산대비채무 비율 
(A/B)x100"
서울본청,"5,505,960","28,594,041",19.26
서울종로구,0,"465,677",.0
서울중구,0,"394,569",.0
서울용산구,0,"366,162",.0
서울성동구,0,"436,394",.0
서울광진구,0,"463,940",.0
서울동대문구,0,"471,646",.0
서울중랑구,0,"508,398",.0
서울성북구,0,"566,148",.0
서울강북구,0,"509,986",.0
서울도봉구,0,"456,419",.0
서울노원구,0,"733,094",.0
서울은평구,0,"552,487",.0
서울서대문구,0,"426,443",.0
서울마포구,0,"566,444",.0
서울양천구,0,"539,186",.0
서울강서구,0,"716,450",.0
서울구로구,0,"536,195",.0
서울금천구,0,"367,325",.0
서울영등포구,0,"510,508",.0
서울동작구,0,"484,491",.0
서울관악구,0,"538,983",.0
서울서초구,0,"694,364",.0
서울강남구,0,"913,497",.0
서울송파구,0,"619,345",.0
서울강동구,0,"536,906",.0
부산본청,"2,753,316","11,341,120",24.28
부산중구,0,"145,534",.0
부산서구,"7,770","263,809",2.95
부산동구,"7,206","231,688",3.11
부산영도구,"3,600","254,029",1.42
부산부산진구,0,"465,561",.0
부산동래구,0,"340,926",.0
부산남구,0,"356,316",.0
부산북구,0,"375,933",.0
부산해운대구,"1,400","492,649",.28
부산사하구,"1,050","423,195",.25
부산금정구,0,"326,961",.0
부산강서구,0,"262,961",.0
부산연제구,0,"296,707",.0
부산수영구,0,"253,760",.0
부산사상구,0,"335,910",.0
부산기장군,0,"506,656",.0
대구본청,"1,723,939","7,614,099",22.64
대구중구,0,"209,967",.0
대구동구,"7,332","487,370",1.50
대구서구,0,"298,644",.0
대구남구,0,"280,859",.0
대구북구,"12,661","493,621",2.56
대구수성구,"1,300","469,000",.28
대구달서구,"5,221","602,000",.87
대구달성군,0,"596,661",.0
인천본청,"3,220,450","9,641,043",33.40
인천중구,"5,209","308,415",1.69
인천동구,0,"207,475",.0
인천남구,"16,006","493,694",3.24
인천연수구,0,"393,642",.0
인천남동구,450,"612,296",.07
인천부평구,"17,873","596,600",3.0
인천계양구,"8,310","366,639",2.27
인천서구,"23,387","586,942",3.98
인천강화군,889,"418,027",.21
인천옹진군,"4,745","300,825",1.58
광주본청,"975,406","4,496,430",21.69
광주동구,"2,640","250,567",1.05
광주서구,"15,067","392,736",3.84
광주남구,"2,585","339,340",.76
광주북구,"6,697","540,267",1.24
광주광산구,"4,361","523,231",.83
대전본청,"654,658","4,593,167",14.25
대전동구,"24,160","392,317",6.16
대전중구,"6,279","375,419",1.67
대전서구,"4,065","562,031",.72
대전유성구,0,"466,481",.0
대전대덕구,"3,700","328,366",1.13
울산본청,"523,585","3,385,958",15.46
울산중구,0,"293,101",.0
울산남구,"4,200","424,712",.99
울산동구,"2,080","220,877",.94
울산북구,0,"270,763",.0
울산울주군,0,"718,523",.0
세종본청,"89,325","1,308,569",6.83
경기본청,"3,864,550","23,482,115",16.46
경기수원시,"71,218","2,463,454",2.89
경기성남시,"118,404","2,810,327",4.21
경기고양시,"13,267","1,901,274",.70
경기용인시,"130,188","2,195,653",5.93
경기부천시,"73,128","1,721,426",4.25
경기안산시,"6,806","1,717,177",.40
경기안양시,"104,518","1,298,332",8.05
경기남양주시,"56,400","1,281,160",4.40
경기화성시,"56,120","2,087,174",2.69
경기평택시,"33,400","1,558,003",2.14
경기의정부시,"86,312","1,158,846",7.45
경기시흥시,"75,000","1,744,183",4.30
경기파주시,"45,855","1,006,951",4.55
경기광명시,"11,460","788,082",1.45
경기김포시,"64,372","1,178,944",5.46
경기군포시,"14,000","723,593",1.93
경기광주시,"99,268","747,018",13.29
경기이천시,"56,280","805,595",6.99
경기양주시,"55,030","659,637",8.34
경기오산시,"15,600","518,122",3.01
경기구리시,"14,500","538,268",2.69
경기안성시,"8,750","690,702",1.27
경기포천시,"37,080","679,281",5.46
경기의왕시,"18,100","378,646",4.78
경기하남시,"27,200","547,309",4.97
경기여주시,0,"619,373",.0
경기동두천시,"11,199","425,274",2.63
경기과천시,0,"399,112",.0
경기양평군,"14,520","577,716",2.51
경기가평군,"5,700","499,932",1.14
경기연천군,"7,008","430,340",1.63
강원본청,"941,761","5,743,312",16.40
