iter	Passed	Remaining
0	22	22827
1	26	13057
2	29	9780
3	32	8087
4	35	7118
5	38	6430
6	42	5963
7	45	5584
8	48	5298
9	51	5083
10	54	4895
11	58	4809
12	62	4721
13	66	4658
14	70	4599
15	74	4556
16	77	4501
17	82	4483
18	85	4424
19	88	4338
20	91	4263
21	94	4205
22	97	4152
23	101	4108
24	104	4078
25	107	4042
26	110	3994
27	113	3943
28	116	3896
29	119	3850
30	122	3814
31	125	3783
32	127	3750
33	130	3716
34	133	3686
35	136	3667
36	140	3644
37	142	3618
38	145	3595
39	148	3573
40	151	3550
41	154	3528
42	157	3507
43	160	3487
44	163	3471
45	166	3452
46	169	3434
47	172	3413
48	174	3394
49	177	3380
50	180	3367
51	183	3349
52	186	3331
53	189	3314
54	191	3298
55	194	3284
56	197	3269
57	200	3254
58	203	3239
59	205	3225
60	208	3213
61	211	3203
62	214	3192
63	217	3181
64	220	3173
65	223	3162
66	226	3149
67	228	3137
68	231	3125
69	234	3113
70	237	3103
71	239	3092
72	242	3083
73	245	3073
74	248	3063
75	251	3053
76	254	3044
77	256	3034
78	259	3025
79	262	3017
80	265	3008
81	268	3000
82	271	2994
83	273	2987
84	277	2982
85	279	2975
86	283	2971
87	285	2962
88	288	2953
89	291	2945
90	294	2937
91	297	2933
92	299	2925
93	302	2917
94	305	2909
95	308	2901
96	310	2894
97	313	2887
98	316	2881
99	319	2873
100	322	2866
101	324	2859
102	327	2851
103	330	2845
104	332	2838
105	335	2831
106	338	2825
107	341	2818
108	344	2813
109	346	2806
110	349	2801
111	352	2795
112	355	2790
113	358	2786
114	361	2781
115	364	2775
116	366	2769
117	370	2766
118	373	2764
119	376	2760
120	379	2755
121	382	2750
122	385	2746
123	388	2742
124	391	2739
125	394	2733
126	396	2728
127	399	2723
128	402	2717
129	405	2710
130	407	2705
131	410	2700
132	413	2696
133	416	2692
134	419	2687
135	422	2682
136	425	2678
137	428	2673
138	430	2668
139	433	2663
140	436	2659
141	439	2653
142	442	2649
143	444	2645
144	447	2640
145	450	2635
146	453	2630
147	456	2625
148	458	2620
149	461	2615
150	464	2610
151	467	2605
152	469	2601
153	472	2596
154	475	2592
155	478	2588
156	481	2584
157	484	2581
158	487	2577
159	490	2574
160	493	2571
161	496	2566
162	499	2562
163	501	2558
164	504	2554
165	507	2550
166	510	2545
167	513	2541
168	515	2537
169	518	2533
170	521	2528
171	524	2524
172	527	2520
173	530	2516
174	533	2512
175	535	2508
176	538	2505
177	541	2501
178	544	2497
179	547	2493
180	550	2489
181	553	2485
182	555	2480
183	558	2478
184	561	2473
185	564	2469
186	567	2465
187	569	2460
188	572	2458
189	575	2453
190	578	2450
191	581	2446
192	584	2443
193	587	2441
194	590	2438
195	593	2434
196	596	2430
197	599	2427
198	602	2424
199	605	2420
200	607	2415
201	610	2411
202	613	2408
203	616	2404
204	619	2400
205	621	2396
206	624	2392
207	627	2388
208	630	2385
209	633	2382
210	635	2378
211	638	2374
212	641	2370
213	644	2366
214	647	2363
215	649	2359
216	652	2355
217	655	2351
218	658	2348
219	661	2344
220	664	2340
221	666	2337
222	669	2333
223	672	2330
224	675	2326
225	678	2322
226	681	2319
227	684	2316
228	687	2313
229	689	2309
230	692	2306
231	695	2302
232	698	2298
233	701	2294
234	703	2291
235	706	2288
236	709	2284
237	712	2281
238	715	2277
239	718	2274
240	721	2271
241	723	2267
242	726	2264
243	729	2260
244	732	2257
245	735	2253
246	738	2249
247	740	2246
248	743	2243
249	746	2239
250	749	2235
251	752	2232
252	754	2228
253	757	2225
254	760	2222
255	763	2218
256	766	2215
257	768	2211
258	771	2207
259	774	2204
260	777	2201
261	780	2198
262	783	2195
263	786	2192
264	789	2188
265	791	2185
266	794	2181
267	797	2178
268	800	2174
269	803	2171
270	805	2167
271	808	2164
272	811	2160
273	814	2157
274	816	2153
275	819	2150
276	822	2146
277	825	2143
278	828	2140
279	830	2136
280	833	2133
281	836	2129
282	839	2126
283	842	2123
284	844	2119
285	847	2116
286	850	2113
287	853	2110
288	856	2107
289	859	2103
290	862	2100
291	864	2096
292	867	2093
293	870	2090
294	873	2087
295	876	2083
296	878	2080
297	881	2077
298	884	2074
299	888	2072
300	891	2069
301	894	2066
302	897	2063
303	900	2060
304	903	2057
305	906	2055
306	909	2053
307	912	2049
308	915	2046
309	917	2043
310	920	2040
311	923	2037
312	926	2033
313	929	2030
314	932	2026
315	935	2024
316	938	2021
317	940	2017
318	943	2014
319	946	2010
320	949	2007
321	952	2004
322	955	2002
323	957	1998
324	960	1995
325	963	1992
326	966	1988
327	969	1985
328	971	1982
329	974	1979
330	977	1975
331	980	1972
332	983	1969
333	986	1966
334	988	1963
335	991	1959
336	994	1957
337	997	1954
338	1000	1951
339	1003	1947
340	1006	1944
341	1009	1941
342	1011	1938
343	1014	1934
344	1017	1931
345	1020	1928
346	1023	1925
347	1025	1922
348	1028	1919
349	1031	1915
350	1034	1912
351	1037	1909
352	1040	1906
353	1042	1903
354	1045	1899
355	1048	1896
356	1051	1893
357	1054	1890
358	1056	1887
359	1059	1883
360	1062	1880
361	1065	1877
362	1068	1875
363	1071	1871
364	1074	1868
365	1077	1866
366	1080	1863
367	1083	1860
368	1086	1858
369	1089	1855
370	1092	1852
371	1095	1849
372	1098	1846
373	1101	1842
374	1103	1839
375	1106	1836
376	1109	1833
377	1112	1830
378	1115	1826
379	1117	1823
380	1120	1820
381	1123	1817
382	1126	1814
383	1129	1811
384	1131	1807
385	1134	1804
386	1137	1801
387	1140	1798
388	1143	1795
389	1145	1792
390	1148	1788
391	1151	1785
392	1154	1782
393	1157	1779
394	1159	1776
395	1162	1773
396	1165	1770
397	1168	1767
398	1171	1764
399	1174	1761
400	1177	1758
401	1180	1755
402	1183	1752
403	1186	1750
404	1189	1746
405	1192	1743
406	1194	1740
407	1197	1737
408	1200	1734
409	1203	1732
410	1206	1729
411	1209	1726
412	1212	1723
413	1215	1720
414	1218	1717
415	1220	1713
416	1223	1710
417	1226	1707
418	1229	1704
419	1232	1701
420	1234	1698
421	1237	1695
422	1240	1692
423	1243	1689
424	1246	1686
425	1249	1683
426	1251	1679
427	1254	1676
428	1257	1673
429	1260	1670
430	1262	1667
431	1265	1664
432	1283	1680
433	1286	1677
434	1289	1674
435	1291	1671
436	1294	1668
437	1297	1665
438	1300	1661
439	1303	1658
440	1306	1655
441	1308	1652
442	1311	1649
443	1314	1646
444	1317	1643
445	1320	1639
446	1322	1636
447	1325	1633
448	1328	1630
449	1331	1627
450	1334	1624
451	1337	1621
452	1339	1618
453	1342	1614
454	1345	1611
455	1348	1608
456	1351	1605
457	1353	1602
458	1356	1599
459	1359	1596
460	1362	1593
461	1365	1590
462	1368	1586
463	1371	1584
464	1374	1580
465	1377	1577
466	1379	1574
467	1382	1571
468	1385	1568
469	1388	1565
470	1391	1562
471	1393	1559
472	1396	1555
473	1399	1553
474	1402	1550
475	1405	1547
476	1408	1544
