iter	Logloss
0	0.6563308503
1	0.625151027
2	0.5966378868
3	0.567633888
4	0.5424632054
5	0.5208412644
6	0.4960214249
7	0.4748254369
8	0.4560633933
9	0.433736516
10	0.4196100957
11	0.4050446524
12	0.3909829541
13	0.3802251335
14	0.3686484902
15	0.3532090461
16	0.343892894
17	0.3344623773
18	0.3209817444
19	0.3126941681
20	0.3050857674
21	0.2988232301
22	0.2879940736
23	0.2813623469
24	0.2719764153
25	0.2676051808
26	0.2633906506
27	0.2582488514
28	0.2539477703
29	0.2495318053
30	0.2455615702
31	0.2393992846
32	0.2341485662
33	0.2308763875
34	0.2274973229
35	0.2245410642
36	0.2214503415
37	0.2190781162
38	0.2151467092
39	0.21194867
40	0.2075787298
41	0.2053978969
42	0.2030687084
43	0.2017326626
44	0.1978689911
45	0.1963650775
46	0.192677381
47	0.1909417611
48	0.1895087184
49	0.1881086385
50	0.185146282
51	0.1840599249
52	0.1811878541
53	0.1781404304
54	0.1769057914
55	0.1747503584
56	0.1732542135
57	0.171184535
58	0.1699811244
59	0.1680225218
60	0.1668339287
61	0.1649311527
62	0.1642558946
63	0.1634338991
64	0.1613068415
65	0.1593947223
66	0.1584591879
67	0.1567586413
68	0.1559069185
69	0.1547321471
70	0.1534414835
71	0.1515778372
72	0.1507123015
73	0.1494763556
74	0.148674778
75	0.147283047
76	0.1463748376
77	0.1455891264
78	0.1447124066
79	0.143935076
80	0.1425999226
81	0.142015892
82	0.1413807973
83	0.140811299
84	0.1398133915
85	0.139057956
86	0.1383096452
87	0.1371130722
88	0.1362210475
89	0.1356006369
90	0.1350646673
91	0.1343546796
92	0.1335963739
93	0.1328679838
94	0.1320278848
95	0.1314987383
96	0.1306558465
97	0.1302859919
98	0.1297543223
99	0.1290054783
100	0.1283816737
101	0.1278240525
102	0.1273731182
103	0.1269943627
104	0.1262847112
105	0.1257929554
106	0.1253706976
107	0.1245707411
108	0.1239429461
109	0.1235106521
110	0.1231362236
111	0.122841809
112	0.1220074417
113	0.1216643035
114	0.121087484
115	0.1205192986
116	0.1202789001
117	0.1199588108
118	0.1195795627
119	0.1192772828
120	0.1187017207
121	0.1183747602
122	0.1178752198
123	0.117462018
