iter	Passed	Remaining
0	2	2707
1	5	2673
2	8	2685
3	10	2726
4	13	2779
5	17	2823
6	19	2816
7	22	2809
8	25	2791
9	28	2790
10	30	2779
11	34	2812
12	37	2814
13	40	2817
14	43	2836
15	46	2842
16	49	2840
17	51	2835
18	54	2836
19	58	2842
20	60	2841
21	63	2841
22	67	2855
23	70	2848
24	74	2886
25	76	2880
26	79	2878
27	83	2881
28	86	2881
29	88	2873
30	91	2871
31	94	2862
32	97	2854
33	100	2852
34	103	2847
35	106	2841
36	108	2832
37	111	2829
38	114	2824
39	117	2823
40	120	2821
41	123	2814
42	126	2815
43	129	2810
44	132	2810
45	135	2805
46	138	2802
47	141	2800
48	144	2802
49	147	2800
50	150	2795
51	153	2790
52	155	2785
53	158	2780
54	161	2778
55	164	2773
56	167	2771
57	170	2768
58	174	2775
59	177	2774
60	180	2775
61	183	2770
62	185	2766
63	188	2763
64	191	2758
65	194	2753
66	197	2747
67	200	2743
68	203	2740
69	206	2737
70	208	2732
71	211	2728
72	214	2722
73	217	2719
74	220	2719
75	223	2715
76	226	2712
77	229	2708
78	232	2706
79	235	2706
80	238	2703
81	241	2700
82	244	2697
83	247	2694
84	249	2690
85	253	2689
86	255	2685
87	258	2682
88	261	2680
89	264	2678
90	267	2675
91	270	2672
92	273	2670
93	276	2669
94	280	2669
95	283	2666
96	286	2664
97	289	2660
98	292	2659
99	295	2659
100	298	2655
101	301	2653
102	304	2651
103	307	2652
104	310	2650
105	314	2649
106	317	2647
107	320	2647
108	323	2646
109	326	2645
110	329	2641
111	332	2639
112	335	2636
113	338	2633
114	341	2631
115	345	2630
116	348	2629
117	351	2626
118	354	2626
119	357	2624
120	361	2623
121	364	2622
122	367	2622
123	371	2621
124	374	2623
125	377	2620
126	380	2618
127	383	2615
128	387	2613
129	390	2610
130	393	2607
131	395	2602
132	398	2598
133	401	2594
134	404	2589
135	407	2586
136	409	2582
137	412	2578
138	415	2573
139	418	2569
140	421	2566
141	424	2562
142	426	2558
143	429	2554
144	432	2550
145	435	2546
146	438	2543
147	441	2540
148	444	2535
149	446	2531
150	449	2527
151	452	2522
152	454	2518
153	457	2514
154	460	2511
155	463	2507
156	466	2503
157	469	2500
158	471	2496
159	474	2493
160	477	2489
161	480	2485
162	483	2481
163	485	2477
164	488	2473
165	491	2471
166	494	2467
167	497	2463
168	500	2459
169	503	2456
170	506	2454
171	509	2451
172	511	2447
173	514	2443
174	517	2440
175	520	2438
176	523	2434
177	526	2430
178	529	2427
179	531	2423
180	534	2420
181	537	2416
182	540	2414
183	543	2409
184	546	2405
185	549	2403
186	551	2399
187	554	2396
188	557	2393
189	560	2390
190	563	2387
191	566	2384
192	570	2383
193	574	2385
194	577	2385
195	581	2385
196	584	2383
197	588	2385
198	591	2382
199	595	2382
200	598	2380
201	601	2377
202	605	2375
203	609	2377
204	612	2375
205	615	2372
206	618	2369
207	621	2368
208	624	2365
209	628	2363
210	631	2360
211	634	2358
212	637	2355
213	640	2353
214	644	2353
215	651	2363
216	654	2361
217	657	2357
218	660	2354
219	663	2351
220	666	2349
221	669	2345
222	672	2342
223	675	2338
224	677	2335
225	681	2333
226	684	2329
227	687	2327
228	690	2324
229	693	2321
230	696	2317
231	699	2314
232	701	2310
233	704	2307
234	708	2305
235	710	2301
236	713	2298
237	716	2294
238	719	2290
239	722	2287
240	725	2284
241	728	2281
242	731	2277
243	734	2274
244	736	2270
245	739	2266
246	742	2263
247	745	2259
248	748	2256
249	751	2253
250	754	2250
251	756	2246
252	759	2242
253	762	2239
254	765	2236
255	768	2233
256	771	2229
257	774	2226
258	776	2222
259	779	2218
260	782	2215
261	785	2212
262	788	2209
263	791	2205
264	794	2203
265	797	2200
266	800	2196
267	802	2193
268	805	2189
269	808	2186
270	811	2183
271	814	2179
272	817	2176
273	820	2173
274	823	2170
275	826	2167
276	829	2164
277	832	2161
278	835	2158
279	838	2154
280	840	2151
281	843	2148
282	846	2144
283	854	2153
284	857	2150
285	860	2147
286	862	2143
287	865	2140
288	868	2137
289	871	2134
290	874	2131
291	877	2127
292	880	2124
293	883	2120
294	886	2117
295	888	2114
296	891	2110
297	894	2107
298	897	2104
299	900	2101
300	903	2098
301	906	2094
302	909	2091
303	912	2088
304	915	2085
305	918	2082
306	920	2078
307	923	2075
308	926	2072
309	929	2069
310	932	2066
311	935	2063
312	938	2059
313	941	2056
314	944	2052
315	946	2049
316	949	2046
317	952	2042
318	955	2039
319	957	2035
320	960	2032
321	963	2028
322	966	2025
323	969	2022
324	972	2019
325	975	2016
326	977	2012
327	980	2008
328	983	2005
329	986	2002
330	989	1999
331	991	1995
332	994	1992
333	997	1989
334	1000	1985
335	1003	1982
336	1005	1979
337	1008	1975
338	1011	1972
339	1014	1968
340	1016	1965
341	1019	1961
342	1022	1957
343	1024	1954
344	1027	1950
345	1030	1947
346	1033	1944
347	1036	1941
348	1039	1938
349	1041	1935
350	1044	1931
351	1047	1928
352	1050	1925
353	1052	1921
354	1055	1918
355	1058	1914
356	1061	1911
357	1063	1907
358	1066	1903
359	1069	1900
360	1071	1896
361	1074	1893
362	1077	1890
363	1079	1886
364	1082	1883
365	1085	1880
366	1087	1876
367	1090	1872
368	1093	1869
369	1095	1866
370	1098	1862
371	1101	1859
372	1103	1855
373	1106	1852
374	1109	1848
375	1111	1845
376	1114	1841
377	1117	1838
378	1119	1834
379	1122	1831
380	1124	1827
381	1127	1824
382	1130	1821
383	1133	1818
384	1136	1815
385	1138	1811
386	1141	1808
387	1144	1804
388	1146	1801
389	1149	1798
390	1152	1794
391	1154	1791
392	1157	1787
393	1160	1784
394	1162	1781
395	1165	1777
396	1168	1774
397	1170	1770
398	1173	1767
399	1175	1763
400	1178	1760
401	1181	1756
402	1183	1753
403	1186	1750
404	1189	1746
405	1191	1743
406	1194	1740
407	1197	1736
408	1199	1733
409	1202	1730
410	1204	1726
411	1207	1723
412	1210	1720
413	1212	1716
414	1215	1713
415	1218	1710
416	1221	1707
417	1224	1704
418	1226	1700
419	1229	1697
420	1232	1694
421	1235	1691
422	1237	1688
423	1240	1685
424	1243	1681
425	1245	1678
426	1248	1675
427	1251	1672
428	1253	1668
429	1256	1665
430	1259	1662
431	1261	1658
432	1264	1655
433	1266	1652
434	1269	1648
435	1272	1645
436	1274	1642
437	1277	1639
438	1280	1635
439	1282	1632
440	1285	1629
441	1288	1626
442	1290	1623
443	1293	1619
444	1296	1616
445	1298	1613
446	1301	1609
447	1304	1606
448	1306	1603
449	1309	1600
450	1311	1596
451	1314	1593
452	1317	1590
453	1319	1587
454	1322	1584
455	1325	1580
456	1327	1577
457	1330	1574
458	1333	1571
459	1336	1568
460	1338	1565
461	1341	1561
462	1344	1558
463	1346	1555
464	1349	1552
465	1351	1549
466	1354	1545
467	1357	1542
468	1359	1539
469	1362	1536
470	1365	1533
471	1367	1530
472	1370	1527
473	1373	1523
474	1375	1520
475	1378	1517
476	1381	1514
477	1383	1511
478	1386	1508
