iter	Passed	Remaining
0	3	3777
1	8	4098
2	13	4441
3	17	4264
4	21	4190
5	25	4253
6	29	4135
7	33	4095
8	36	4063
9	41	4121
10	45	4095
11	49	4065
12	53	4049
13	57	4062
14	61	4036
15	66	4069
16	70	4103
17	76	4185
18	80	4166
19	84	4133
20	88	4130
21	93	4155
22	105	4466
23	111	4518
24	115	4507
25	119	4485
26	123	4445
27	126	4407
28	129	4352
29	133	4311
30	136	4281
31	140	4259
32	143	4215
33	147	4178
34	150	4146
35	154	4127
36	158	4116
37	161	4092
38	165	4066
39	168	4034
40	171	4018
41	175	4003
42	178	3980
43	182	3963
44	187	3968
45	190	3959
46	194	3944
47	197	3925
48	201	3905
49	204	3882
50	207	3860
51	210	3837
52	213	3813
53	216	3790
54	220	3788
55	224	3780
56	227	3760
57	230	3742
58	234	3738
59	238	3733
60	241	3723
61	245	3707
62	248	3692
63	252	3686
64	255	3670
65	258	3655
66	261	3639
67	264	3625
68	268	3628
69	272	3616
70	275	3601
71	278	3593
72	282	3587
73	286	3583
74	289	3572
75	292	3559
76	295	3547
77	300	3550
78	304	3550
79	307	3537
80	310	3524
81	314	3515
82	317	3509
83	320	3495
84	323	3482
85	326	3470
86	331	3479
87	334	3468
88	337	3456
89	340	3444
90	343	3433
91	346	3424
92	350	3416
93	353	3407
94	356	3396
95	359	3388
96	363	3381
97	366	3375
98	369	3365
99	373	3358
100	376	3347
101	379	3341
102	382	3333
103	385	3323
104	389	3316
105	392	3310
106	396	3305
107	400	3303
108	403	3297
109	406	3288
110	409	3278
111	413	3282
112	417	3273
113	420	3265
114	423	3256
115	426	3247
116	429	3243
117	432	3235
118	436	3231
119	439	3223
120	442	3215
121	445	3209
122	448	3200
123	452	3193
124	455	3185
125	458	3177
126	461	3174
127	464	3166
128	467	3159
129	470	3151
130	473	3143
131	477	3139
132	480	3134
133	483	3126
134	486	3118
135	489	3111
136	493	3106
137	496	3103
138	500	3101
139	504	3101
140	507	3094
141	512	3094
142	515	3089
143	518	3082
144	521	3075
145	525	3072
146	528	3066
147	531	3060
148	534	3053
149	537	3046
150	540	3040
151	544	3038
152	547	3032
153	550	3025
154	553	3019
155	557	3015
156	560	3011
157	563	3004
158	566	2998
159	569	2991
160	573	2991
161	577	2984
162	579	2978
163	583	2971
164	586	2966
165	589	2963
